phone_number,email,credit_score,age_group,family_background,income,education_level,employment_type,website_engagement_score,last_contact_date,intent_score,intent_binary
(642)699-8119,jacksonmary@example.net,586,18-25,Divorced,23145,Master's,Full-time,36,2025-05-27,37,0
620.662.0425x174,bhouston@example.net,697,46-55,Single,79561,Bachelor's,Full-time,32,2025-05-09,71,1
(744)752-6788,heatherboyd@example.org,688,36-45,Single,20043,Master's,Student,19,2025-03-09,41,0
(353)220-4178,jessica49@example.org,622,26-35,Married with Kids,49004,Bachelor's,Full-time,52,2025-03-03,96,1
+1-994-979-9828x86845,gerald98@example.org,741,46-55,Divorced,48471,High School,Full-time,21,2025-02-02,72,1
981-437-2932x900,harriswilliam@example.com,638,18-25,Single,42173,Professional,Full-time,15,2025-01-19,34,0
613.598.1673,janet18@example.org,671,56+,Divorced,15522,High School,Part-time,29,2025-05-26,41,0
748-374-1865x2083,davidsanders@example.net,658,26-35,Married with Kids,15000,High School,Part-time,60,2025-04-24,62,1
8848840560,kim34@example.net,646,36-45,Married,32213,Bachelor's,Retired,68,2025-04-15,55,0
+1-323-635-8666x443,daughertycody@example.com,575,18-25,Divorced,15000,Bachelor's,Unemployed,28,2025-07-06,0,0
001-989-966-7666x4136,robertferguson@example.org,630,18-25,Married with Kids,16149,Master's,Part-time,84,2025-07-03,51,0
001-733-872-4065,zanderson@example.net,635,26-35,Married,42690,Bachelor's,Self-employed,85,2025-01-29,95,1
(529)995-4280,vmeyer@example.com,751,56+,Single,83610,Master's,Full-time,38,2025-03-17,53,0
(309)622-3063x604,valerie92@example.net,527,18-25,Single,25968,High School,Full-time,42,2025-01-21,34,0
435-873-9253x6392,amymorris@example.com,683,56+,Married with Kids,64444,Master's,Full-time,62,2025-02-23,100,1
+1-348-641-3529x664,gford@example.org,694,36-45,Divorced,80563,Master's,Full-time,33,2025-04-21,81,1
001-956-486-1534x41439,patriciagray@example.com,617,26-35,Married,56567,Master's,Full-time,63,2025-04-21,90,1
603-871-4179x073,jeffreymaldonado@example.net,696,36-45,Single,51704,Bachelor's,Full-time,43,2025-04-20,83,1
001-970-940-6102x9821,bhuff@example.net,669,18-25,Married with Kids,17734,High School,Full-time,47,2025-03-13,81,1
(244)879-3970x63566,stephanie41@example.com,652,26-35,Single,91776,PhD,Full-time,59,2025-02-21,90,1
(790)349-0791x542,swilson@example.net,704,46-55,Married with Kids,121320,PhD,Full-time,55,2025-04-03,100,1
001-379-229-9613x137,villasamantha@example.com,706,36-45,Single,39748,Master's,Part-time,53,2025-03-22,64,1
+1-424-227-5024x9870,allison27@example.net,729,56+,Single,39921,Bachelor's,Full-time,22,2025-02-22,57,0
(256)741-2216x53363,qmason@example.org,632,56+,Single,43238,Master's,Full-time,48,2025-02-27,49,0
270.630.5333x89121,alexander24@example.net,758,46-55,Married,80613,Bachelor's,Self-employed,40,2025-05-14,100,1
+1-900-556-2561x209,gregschwartz@example.com,591,18-25,Married,21856,Master's,Self-employed,28,2025-07-07,51,0
5654756167,sandramarks@example.org,690,36-45,Married with Kids,76821,Master's,Full-time,67,2025-05-19,100,1
448-941-1302x33295,oliverdavid@example.com,642,26-35,Widowed,45349,Bachelor's,Full-time,55,2025-02-01,41,0
+1-725-309-9171x567,nsanchez@example.org,598,36-45,Widowed,37775,Bachelor's,Full-time,52,2025-04-07,52,0
(273)410-0955x034,carlsonlee@example.com,612,26-35,Married,26835,Bachelor's,Full-time,56,2025-06-20,76,1
362.761.7193,hendersonphillip@example.org,660,26-35,Married with Kids,31473,Master's,Part-time,66,2025-03-24,83,1
633-567-9727,stacie13@example.net,658,18-25,Married with Kids,34272,Bachelor's,Self-employed,37,2025-05-12,81,1
001-906-524-4043,snyderwilliam@example.com,732,36-45,Married with Kids,33706,High School,Retired,56,2025-02-15,100,1
204.247.2101x493,mccarthysandra@example.com,741,56+,Divorced,93150,Master's,Full-time,55,2025-01-14,74,1
(257)408-8413x61059,hernandezjoseph@example.org,735,36-45,Married with Kids,21136,High School,Part-time,71,2025-04-28,100,1
858-791-9467,ortiztrevor@example.net,717,46-55,Single,112675,Master's,Full-time,40,2025-04-30,100,1
001-525-827-6972x10654,susancampbell@example.org,737,46-55,Married with Kids,86838,PhD,Full-time,45,2025-03-04,100,1
704-310-3293x42335,ejordan@example.org,638,26-35,Married with Kids,49932,Master's,Full-time,37,2025-06-23,73,1
(903)958-1553x545,linjuan@example.net,577,18-25,Married with Kids,57273,PhD,Full-time,42,2025-06-09,68,1
298.859.2255x532,bguzman@example.org,675,56+,Married,87212,Master's,Full-time,61,2025-02-12,91,1
+1-616-805-5457,michelle88@example.com,685,56+,Single,41182,High School,Full-time,51,2025-04-05,81,1
001-478-279-5934,jbryan@example.com,629,46-55,Divorced,15000,Master's,Unemployed,8,2025-05-06,15,0
4432493502,hgreen@example.com,665,26-35,Divorced,45549,Bachelor's,Full-time,63,2025-07-06,85,1
(973)277-9354x8930,petersenaaron@example.com,732,46-55,Divorced,68663,Bachelor's,Retired,32,2025-05-01,57,0
(741)928-0489,davidvargas@example.net,729,46-55,Married,69476,Bachelor's,Full-time,48,2025-06-13,100,1
+1-222-830-7526x58228,monica20@example.com,589,18-25,Married,15000,PhD,Student,59,2025-06-06,43,0
862.521.4940,david07@example.net,761,46-55,Married with Kids,131560,Master's,Full-time,51,2025-06-14,100,1
472.403.2143x55519,jenningsrodney@example.com,648,26-35,Widowed,17488,Master's,Part-time,49,2025-06-05,49,0
(232)650-3250x7271,msantos@example.net,645,36-45,Married with Kids,39800,High School,Full-time,52,2025-05-22,86,1
493.598.2802x5626,ksanders@example.net,638,26-35,Single,35526,Bachelor's,Full-time,67,2025-05-15,67,1
558-617-4244x16586,julie78@example.org,595,18-25,Divorced,28620,Bachelor's,Full-time,2,2025-02-15,32,0
+1-924-899-1443x01438,kimberlyross@example.com,722,46-55,Married with Kids,38751,Bachelor's,Full-time,39,2025-04-06,81,1
539-805-7445x9233,jillian19@example.org,533,18-25,Married,15279,Bachelor's,Full-time,33,2025-05-03,33,0
703.305.0106x112,dduncan@example.net,697,26-35,Single,21796,High School,Full-time,44,2025-05-24,69,1
(386)747-2081x72223,eholmes@example.com,628,18-25,Single,38648,Bachelor's,Full-time,42,2025-02-05,30,0
(681)728-3184,kbrock@example.com,598,18-25,Widowed,48667,Master's,Full-time,42,2025-02-08,15,0
(682)426-4971x071,mcdonalddavid@example.net,601,26-35,Married,15000,Master's,Unemployed,100,2025-05-11,62,1
(820)494-1818x478,hicksanthony@example.com,702,36-45,Married with Kids,96485,Master's,Full-time,92,2025-07-06,100,1
8687257533,skeller@example.org,756,46-55,Single,34854,High School,Full-time,2,2025-02-03,65,1
8115427479,afoster@example.net,746,46-55,Married,72071,High School,Full-time,53,2025-05-22,98,1
693-628-2899x0857,arthurandrews@example.com,690,46-55,Single,120263,PhD,Full-time,48,2025-07-05,87,1
(208)672-5755x0441,gordon42@example.com,684,36-45,Single,27217,Professional,Full-time,42,2025-07-03,85,1
981-492-8554x5349,timothysosa@example.net,577,18-25,Married,57256,PhD,Full-time,39,2025-06-21,66,1
420-725-9495x5723,veronica97@example.com,671,46-55,Single,48155,Bachelor's,Full-time,45,2025-02-20,79,1
524-794-2096x2577,johnnymiller@example.net,690,36-45,Married,17416,Bachelor's,Student,60,2025-05-08,71,1
859-386-6674,mbradshaw@example.net,621,18-25,Married,53177,Master's,Self-employed,29,2025-04-13,68,1
628.488.6258,loganjake@example.org,684,46-55,Married,36680,Bachelor's,Full-time,18,2025-07-07,82,1
922-499-1724x4014,michellevillegas@example.net,703,36-45,Divorced,47330,Bachelor's,Full-time,38,2025-03-08,100,1
001-330-745-9818,cannonkenneth@example.net,681,36-45,Married with Kids,99237,Professional,Self-employed,98,2025-04-09,100,1
+1-413-646-1857,nthompson@example.net,647,36-45,Divorced,50990,High School,Full-time,45,2025-03-11,83,1
+1-294-220-1631x5991,rhoward@example.net,770,46-55,Married,98532,Bachelor's,Full-time,78,2025-01-30,89,1
352.289.7778x945,bryantmegan@example.com,722,46-55,Widowed,82224,Master's,Full-time,91,2025-01-31,95,1
001-747-803-4142x47993,raythomas@example.com,653,46-55,Single,44276,PhD,Part-time,5,2025-03-14,46,0
(694)595-8339x091,codystuart@example.com,706,56+,Divorced,74440,Bachelor's,Full-time,51,2025-02-19,52,0
202.826.7824x4347,ewright@example.org,714,36-45,Married with Kids,81790,Bachelor's,Self-employed,68,2025-06-27,100,1
+1-956-986-0177x850,david15@example.com,652,56+,Widowed,29952,High School,Full-time,7,2025-04-04,46,0
+1-685-826-0823x007,cassandragray@example.org,684,56+,Married,15000,Bachelor's,Unemployed,1,2025-05-18,29,0
742-342-1466,jenniferblair@example.org,708,46-55,Married with Kids,15000,Bachelor's,Full-time,39,2025-03-31,100,1
(676)396-0495x225,lfuller@example.net,773,36-45,Single,15000,Bachelor's,Part-time,73,2025-03-08,79,1
5843323752,victoria31@example.net,744,46-55,Married with Kids,21506,High School,Part-time,52,2025-06-27,89,1
(310)968-4265,salinasbrittany@example.com,598,26-35,Married,54623,Master's,Full-time,79,2025-05-01,77,1
3533043004,samuel58@example.org,691,26-35,Single,53093,Professional,Full-time,57,2025-03-26,81,1
(667)349-7603,chamilton@example.org,609,18-25,Married,33934,Master's,Full-time,34,2025-06-09,55,0
670-376-0172,wileymaria@example.net,720,46-55,Married with Kids,125509,Master's,Full-time,53,2025-03-17,100,1
707.213.4682,harperterri@example.org,693,46-55,Single,15000,Bachelor's,Student,24,2025-06-25,38,0
001-267-972-0593x802,ydavis@example.org,678,36-45,Single,68059,Bachelor's,Full-time,38,2025-01-29,85,1
965.246.3044x8384,rodriguezkaren@example.net,697,36-45,Widowed,22917,Bachelor's,Part-time,39,2025-06-10,80,1
289-508-8155x780,kevinrose@example.com,753,56+,Married,51085,PhD,Full-time,48,2025-04-01,90,1
001-686-840-9405x222,amandakaiser@example.net,645,18-25,Single,27674,Master's,Full-time,10,2025-02-07,34,0
(867)253-4908,wrighttony@example.org,619,26-35,Married,42765,Master's,Full-time,70,2025-07-10,90,1
+1-370-211-8997,bdavis@example.net,673,36-45,Divorced,15000,Master's,Student,34,2025-05-17,66,1
408-343-6455x073,fleach@example.com,624,26-35,Married,40752,High School,Full-time,55,2025-02-21,86,1
(674)239-8100,antonio73@example.org,715,56+,Married,68845,Master's,Full-time,42,2025-01-23,93,1
248-384-2469,bryanweber@example.org,597,36-45,Married,27669,Bachelor's,Part-time,71,2025-06-26,57,0
001-634-412-0741x1328,dking@example.org,608,26-35,Single,24558,High School,Full-time,44,2025-04-29,61,1
(529)669-2069x275,clarkkevin@example.org,693,56+,Single,46535,Master's,Full-time,41,2025-03-07,50,0
845-450-2571x76014,turnermichael@example.net,720,36-45,Married,71054,Bachelor's,Full-time,79,2025-04-29,100,1
001-415-891-4049,vvega@example.org,762,36-45,Married with Kids,108017,PhD,Full-time,95,2025-01-24,100,1
(354)552-5312,rileysamantha@example.com,625,18-25,Married with Kids,15000,High School,Full-time,59,2025-03-01,52,0
(278)681-2816,kenneth59@example.net,679,36-45,Single,63329,Master's,Full-time,59,2025-02-13,89,1
6887184674,david76@example.net,646,26-35,Single,15000,High School,Unemployed,6,2025-03-28,9,0
8895680666,blakehughes@example.net,709,46-55,Married,39420,High School,Full-time,53,2025-03-18,86,1
001-769-706-5275x38363,reyespeter@example.net,711,18-25,Single,15000,High School,Full-time,36,2025-05-13,69,1
001-969-336-1001,matthewgray@example.net,671,46-55,Married,63986,Bachelor's,Full-time,32,2025-06-16,84,1
528.875.7548x3044,karen15@example.org,729,46-55,Divorced,52405,Bachelor's,Full-time,23,2025-05-28,93,1
425-862-1909x344,washingtonjohnny@example.com,564,18-25,Single,15000,Bachelor's,Part-time,33,2025-02-06,12,0
227.861.3175x09080,smithbarry@example.net,665,36-45,Divorced,79209,Master's,Self-employed,55,2025-02-16,100,1
(794)233-1322x55706,melissa09@example.com,658,56+,Married with Kids,41597,High School,Self-employed,36,2025-05-10,90,1
+1-554-279-2644x838,jeffreydavis@example.net,815,46-55,Single,158308,Professional,Self-employed,32,2025-05-22,91,1
+1-825-419-1756x431,paige23@example.net,738,36-45,Married,120292,Master's,Full-time,89,2025-05-13,100,1
530-583-6392x4649,larryballard@example.org,629,36-45,Single,44750,High School,Full-time,62,2025-06-09,69,1
001-288-970-1407x3878,allenlisa@example.org,734,56+,Single,38699,PhD,Retired,5,2025-04-05,44,0
979-314-8699x600,robert73@example.org,735,56+,Single,67191,PhD,Full-time,33,2025-06-11,73,1
(698)679-6649x1260,terrinewman@example.com,722,56+,Married with Kids,106349,Professional,Full-time,74,2025-04-26,100,1
+1-644-670-2887x58001,kshah@example.net,647,56+,Married with Kids,63321,Bachelor's,Full-time,56,2025-02-14,83,1
+1-619-237-9650,olivermichael@example.net,573,18-25,Single,23698,Bachelor's,Full-time,20,2025-03-08,27,0
+1-209-835-9622x854,jstephens@example.com,723,56+,Single,84768,Professional,Self-employed,55,2025-05-09,86,1
573.652.7343,jsims@example.com,678,36-45,Married with Kids,38356,High School,Full-time,98,2025-03-21,100,1
+1-703-502-0805x6802,tracy17@example.com,646,18-25,Married with Kids,15000,High School,Full-time,60,2025-03-09,69,1
291-628-5040x6188,omartinez@example.net,673,26-35,Married with Kids,80719,Master's,Full-time,83,2025-06-16,100,1
256-834-4254,scottjessica@example.com,640,18-25,Divorced,20086,Master's,Full-time,26,2025-04-20,28,0
001-221-871-7219x305,kbell@example.net,725,46-55,Widowed,77832,Master's,Full-time,15,2025-05-08,51,0
(256)267-3490,katherine79@example.com,717,56+,Married,23694,High School,Full-time,44,2025-05-18,79,1
+1-916-896-7678x17674,elowe@example.com,675,26-35,Married with Kids,23401,Bachelor's,Part-time,65,2025-06-04,95,1
543-567-3633,chris89@example.org,663,46-55,Widowed,15000,High School,Student,24,2025-01-18,49,0
944-389-6598,romerokenneth@example.org,623,36-45,Single,45739,High School,Full-time,65,2025-01-18,83,1
654.818.7308x558,vanessa86@example.com,674,26-35,Divorced,45821,Bachelor's,Full-time,48,2025-02-01,83,1
+1-941-495-5151,millerjames@example.org,719,46-55,Single,49341,PhD,Full-time,38,2025-01-22,71,1
8714313094,pgalloway@example.com,644,56+,Divorced,15000,PhD,Student,16,2025-06-28,28,0
3127028250,edwardscassandra@example.net,652,26-35,Married with Kids,24368,Master's,Part-time,39,2025-03-23,81,1
937.842.0673x512,thompsonrobert@example.com,673,26-35,Single,36362,High School,Full-time,61,2025-01-25,80,1
+1-514-705-5684x2962,michael53@example.com,624,26-35,Married with Kids,15000,High School,Unemployed,73,2025-03-18,67,1
001-669-377-2326,huntjacob@example.com,526,18-25,Divorced,21598,Bachelor's,Full-time,63,2025-06-14,56,0
800.225.3946x895,regina87@example.com,674,36-45,Married,102887,Bachelor's,Full-time,80,2025-02-13,100,1
928-884-0708x0164,reedbradley@example.org,696,46-55,Single,24004,Bachelor's,Student,23,2025-03-22,61,1
+1-277-540-4396x847,daviscraig@example.org,533,26-35,Divorced,57813,Master's,Full-time,26,2025-05-04,73,1
384-451-4309,wbishop@example.net,705,46-55,Single,62343,Bachelor's,Self-employed,31,2025-04-10,75,1
(614)853-5905x5042,freemanangela@example.net,541,18-25,Single,29164,Bachelor's,Full-time,16,2025-02-11,17,0
+1-596-902-6976x36672,stephen84@example.net,678,36-45,Single,15000,High School,Part-time,58,2025-06-21,73,1
(272)467-0159,sharpjames@example.com,666,56+,Married,34262,High School,Full-time,43,2025-06-12,76,1
788-935-9159x6308,njones@example.net,626,36-45,Single,15730,High School,Retired,73,2025-03-20,66,1
+1-505-252-0703x0054,kimberlywilliams@example.net,597,26-35,Married,45502,Bachelor's,Full-time,73,2025-07-10,73,1
(532)563-5644,dburns@example.org,586,36-45,Single,30338,Bachelor's,Part-time,57,2025-05-02,46,0
(414)918-4812x431,jennifer75@example.com,630,56+,Married,60252,Master's,Full-time,67,2025-05-25,60,1
001-993-977-0666x129,james85@example.com,693,36-45,Single,43731,High School,Full-time,51,2025-07-05,91,1
001-799-395-5796,annette68@example.org,607,26-35,Married with Kids,64792,Bachelor's,Full-time,49,2025-06-12,100,1
3465745771,walterkrueger@example.net,649,46-55,Married with Kids,20215,Bachelor's,Part-time,36,2025-04-19,81,1
288-548-6638x8815,vgallagher@example.net,722,46-55,Married,54227,Bachelor's,Full-time,41,2025-06-03,95,1
473-684-5431x05666,donaldmurray@example.org,722,36-45,Single,143127,Professional,Self-employed,60,2025-06-13,100,1
662.408.1920x5785,triciamitchell@example.org,664,26-35,Married,41625,Bachelor's,Full-time,66,2025-03-19,100,1
434-898-7632,david41@example.org,689,36-45,Married with Kids,15000,High School,Part-time,53,2025-06-18,100,1
001-687-979-5030x51050,xmoore@example.com,651,56+,Married with Kids,75163,Master's,Full-time,71,2025-05-22,100,1
(599)482-9382,mitchelldaniel@example.com,716,36-45,Married with Kids,15000,High School,Part-time,94,2025-07-06,100,1
+1-510-827-4897x524,shahchloe@example.com,592,26-35,Married,54460,Bachelor's,Full-time,77,2025-02-05,96,1
+1-906-896-8313x099,jacquelinecombs@example.net,789,46-55,Married with Kids,120543,Master's,Self-employed,63,2025-02-06,100,1
(513)601-7237,sarahsoto@example.org,757,46-55,Married with Kids,107881,PhD,Full-time,62,2025-05-25,100,1
4624552801,dmiller@example.net,704,26-35,Single,30733,High School,Full-time,49,2025-07-10,78,1
5559449141,stephenanderson@example.net,691,46-55,Widowed,61833,High School,Full-time,23,2025-07-03,77,1
933-753-0334x99660,lprice@example.com,699,26-35,Married with Kids,49449,Bachelor's,Full-time,72,2025-07-08,96,1
(418)902-1583x90459,sheribates@example.net,617,46-55,Single,64477,High School,Full-time,35,2025-04-21,50,0
360-324-4874,russelltracy@example.net,557,26-35,Divorced,15000,Bachelor's,Unemployed,63,2025-06-07,32,0
(624)232-6543x467,lewisgerald@example.com,730,46-55,Married with Kids,101748,Master's,Full-time,60,2025-06-16,100,1
001-821-222-6112x3847,walkertom@example.com,732,26-35,Married with Kids,66577,Master's,Self-employed,71,2025-04-28,100,1
(443)952-3486,uduke@example.com,682,36-45,Widowed,57133,High School,Full-time,62,2025-04-04,77,1
492-285-0636x0683,melissa22@example.com,731,36-45,Single,17854,Bachelor's,Full-time,51,2025-03-19,93,1
+1-477-360-7964x87334,sandramendez@example.com,624,36-45,Single,50078,Master's,Retired,54,2025-01-28,57,0
001-842-788-7026,travis91@example.com,586,18-25,Single,26832,Bachelor's,Full-time,46,2025-03-07,32,0
596-914-0450,kennethbell@example.net,650,26-35,Single,38993,Master's,Full-time,60,2025-04-16,71,1
(206)912-5324,jamie15@example.net,688,56+,Married,70974,Bachelor's,Full-time,54,2025-03-07,87,1
(846)937-1726x78870,wiseadam@example.net,723,46-55,Single,73993,Master's,Full-time,31,2025-05-04,75,1
7669274768,lacey11@example.net,685,46-55,Widowed,15000,High School,Part-time,46,2025-01-18,59,0
001-920-486-1383x3395,arthur03@example.net,653,26-35,Married with Kids,27497,High School,Full-time,37,2025-05-25,100,1
225.278.4090x263,nunezchristopher@example.com,663,36-45,Married,52843,Bachelor's,Full-time,55,2025-01-23,97,1
6794819001,michelle31@example.com,666,18-25,Married,15000,Master's,Part-time,56,2025-02-23,59,0
3897197459,oburton@example.com,643,36-45,Single,99454,Bachelor's,Full-time,56,2025-06-17,87,1
(514)274-8412,nicole72@example.org,720,36-45,Married with Kids,53063,Bachelor's,Full-time,100,2025-07-03,100,1
8915422361,pramirez@example.com,745,46-55,Married with Kids,53504,High School,Self-employed,49,2025-02-03,99,1
269.422.1152,ypineda@example.net,688,26-35,Married with Kids,49136,Bachelor's,Full-time,68,2025-01-28,99,1
6447309478,loganwilliam@example.com,740,46-55,Single,107286,Professional,Full-time,45,2025-02-07,100,1
542.875.8149x11715,vanessa66@example.org,649,56+,Married,44212,High School,Self-employed,30,2025-03-31,71,1
+1-962-838-5340x21873,sarahsmith@example.org,680,46-55,Married with Kids,76262,Bachelor's,Full-time,33,2025-02-27,94,1
578-321-7453,michael21@example.com,701,56+,Single,40664,PhD,Retired,55,2025-04-20,35,0
+1-814-983-2029,gregory09@example.org,599,26-35,Married,15000,Bachelor's,Student,63,2025-03-25,48,0
3138357750,phyllis93@example.com,699,36-45,Single,56803,Bachelor's,Full-time,68,2025-04-28,91,1
001-226-285-2343,wvance@example.org,544,26-35,Married,43881,Bachelor's,Full-time,52,2025-01-27,82,1
+1-428-907-2716x8350,pattersonchristopher@example.com,751,46-55,Married with Kids,98025,Master's,Full-time,94,2025-05-21,100,1
855-405-6170x5640,cproctor@example.org,696,36-45,Widowed,41175,High School,Full-time,71,2025-06-12,87,1
(863)656-0130,rhayes@example.net,735,46-55,Married with Kids,84743,Bachelor's,Full-time,49,2025-04-09,100,1
(824)824-2534,gpierce@example.net,601,26-35,Married with Kids,20944,Bachelor's,Full-time,49,2025-04-11,90,1
5815677951,jorgemueller@example.com,614,26-35,Married with Kids,23436,Master's,Self-employed,59,2025-07-01,100,1
+1-353-532-1291x998,derek51@example.org,696,46-55,Divorced,38431,Bachelor's,Full-time,24,2025-06-08,72,1
+1-707-364-7173x32368,christopher49@example.net,600,26-35,Divorced,15000,High School,Unemployed,15,2025-02-08,30,0
604-991-2104,mbarker@example.net,693,26-35,Married,81861,Master's,Self-employed,74,2025-03-15,100,1
+1-405-990-9334,smithbrandon@example.org,669,26-35,Single,91837,Master's,Self-employed,45,2025-06-20,95,1
+1-471-671-3562x754,charlesmullins@example.com,618,18-25,Single,15000,Master's,Student,34,2025-02-27,20,0
340-743-6511x23870,thompsonjeffery@example.org,708,46-55,Married,53044,Bachelor's,Self-employed,62,2025-03-29,85,1
991.685.4381x150,billywillis@example.com,653,26-35,Married with Kids,69913,Master's,Full-time,76,2025-01-30,100,1
+1-596-252-3696,shannon33@example.net,619,36-45,Single,15499,Bachelor's,Self-employed,64,2025-04-20,73,1
+1-534-307-5661,thomasdickerson@example.org,666,36-45,Married with Kids,72432,Master's,Full-time,49,2025-02-16,100,1
(400)334-2928x6149,kfrye@example.net,577,18-25,Single,20022,Bachelor's,Full-time,19,2025-07-03,5,0
001-969-261-8502,nancyjefferson@example.com,728,46-55,Single,84849,Bachelor's,Self-employed,69,2025-02-22,85,1
865.225.9469,jamesgarcia@example.com,701,36-45,Single,21262,Bachelor's,Retired,47,2025-01-22,69,1
001-644-503-6841x923,robert39@example.org,617,26-35,Married with Kids,17534,Bachelor's,Full-time,56,2025-05-24,95,1
752.250.3777x658,johnhenderson@example.com,714,46-55,Single,70404,Bachelor's,Full-time,34,2025-02-20,89,1
+1-544-726-2154,brianmartinez@example.net,723,56+,Single,96939,Master's,Self-employed,57,2025-04-14,85,1
511.970.2339x2185,wrighttony@example.org,623,26-35,Single,85052,Bachelor's,Self-employed,78,2025-04-07,89,1
(928)780-9680,abigailyoung@example.org,683,26-35,Married with Kids,39077,Bachelor's,Full-time,55,2025-03-26,100,1
(850)238-6827,kathymason@example.org,633,26-35,Married,27895,Master's,Part-time,38,2025-02-23,50,0
001-685-920-5736,wlang@example.org,600,18-25,Single,40177,Bachelor's,Full-time,0,2025-02-07,4,0
332.222.4309x458,karla85@example.net,652,26-35,Single,18433,High School,Full-time,70,2025-02-16,61,1
539-847-8818x47849,lauriechavez@example.org,695,46-55,Married,37742,Bachelor's,Part-time,54,2025-06-11,64,1
(450)976-4939x72390,brightbreanna@example.net,744,26-35,Married with Kids,46891,Bachelor's,Full-time,100,2025-02-28,100,1
001-954-854-1491x168,bradleysmith@example.net,738,26-35,Married with Kids,15000,High School,Part-time,59,2025-05-04,86,1
001-658-731-9292x73029,spayne@example.net,641,26-35,Single,15000,Professional,Unemployed,53,2025-02-26,44,0
001-294-221-6593x153,larsenelizabeth@example.net,578,18-25,Married,38397,Master's,Full-time,40,2025-01-29,57,0
997-676-5071,kmckenzie@example.net,693,36-45,Married with Kids,80445,Bachelor's,Full-time,80,2025-03-03,100,1
001-692-317-5903x90138,williamburnett@example.net,623,18-25,Widowed,15209,Master's,Retired,32,2025-06-27,26,0
737-632-6377x34303,sandra43@example.com,678,36-45,Married,77764,Bachelor's,Full-time,75,2025-04-12,100,1
854-337-0695x45959,bakerlaurie@example.com,727,46-55,Single,34928,Bachelor's,Full-time,31,2025-05-06,68,1
+1-795-800-6000x2258,aadams@example.org,674,36-45,Divorced,31537,High School,Full-time,52,2025-06-20,89,1
(487)870-5645,yreeves@example.org,700,56+,Widowed,66532,Bachelor's,Self-employed,26,2025-03-06,60,1
001-984-534-8816x52807,rebecca13@example.org,661,36-45,Single,20052,High School,Full-time,36,2025-02-06,75,1
(926)408-3593x99440,achapman@example.net,692,36-45,Single,45645,High School,Full-time,49,2025-05-18,85,1
395-833-0050x6826,michaelsanchez@example.org,660,26-35,Widowed,39420,Bachelor's,Full-time,49,2025-04-13,59,0
001-377-457-6360x1872,sgarcia@example.com,642,18-25,Divorced,57443,Master's,Full-time,21,2025-04-07,65,1
+1-799-264-0063x35578,kelliray@example.com,685,56+,Divorced,15000,High School,Unemployed,57,2025-05-27,33,0
001-691-726-1025,jkramer@example.org,724,26-35,Married with Kids,51781,Bachelor's,Full-time,73,2025-04-05,100,1
+1-351-686-1957,santanasteven@example.com,691,46-55,Married,41290,Professional,Part-time,45,2025-03-11,69,1
331-523-0221x5175,brandi46@example.net,568,26-35,Married,15000,Bachelor's,Retired,57,2025-02-01,64,1
(909)652-0591,angelaaustin@example.net,701,26-35,Married with Kids,63638,PhD,Full-time,55,2025-05-11,100,1
379.565.5584x71336,jonesmichael@example.com,612,18-25,Single,15000,Master's,Part-time,29,2025-06-29,22,0
(230)865-7032x6198,ohall@example.net,610,26-35,Married with Kids,15000,Bachelor's,Student,50,2025-05-18,67,1
(393)426-9280x7222,jasmine89@example.com,673,36-45,Single,49979,Master's,Full-time,56,2025-03-09,75,1
(535)736-0485x567,anitaadams@example.net,658,46-55,Married with Kids,26789,Bachelor's,Retired,24,2025-06-28,76,1
341-913-3973x691,miguel42@example.org,660,26-35,Married,47056,Master's,Full-time,66,2025-04-05,100,1
+1-208-906-8640x3563,kmullen@example.org,686,56+,Married with Kids,34973,Bachelor's,Full-time,42,2025-06-26,85,1
376-752-5386x3063,cynthiacervantes@example.org,757,56+,Married,37364,High School,Full-time,22,2025-05-07,55,0
7199973791,lindsay82@example.com,659,56+,Married with Kids,38217,High School,Full-time,51,2025-05-17,90,1
963.428.0525,jamesedwards@example.org,660,46-55,Single,110840,Professional,Full-time,37,2025-07-07,80,1
(889)494-3379,hford@example.org,753,26-35,Married with Kids,100954,Master's,Full-time,74,2025-05-12,100,1
872.232.3216x7877,lisakeller@example.com,733,26-35,Married with Kids,60985,Master's,Full-time,58,2025-03-03,100,1
001-454-214-3951x74637,feliciabrown@example.org,630,26-35,Married,58181,Bachelor's,Self-employed,90,2025-03-27,100,1
526.610.5662x83073,hmcgee@example.com,627,26-35,Married,16890,Master's,Part-time,66,2025-05-07,80,1
4617825282,williamrubio@example.org,639,56+,Married,54230,High School,Full-time,33,2025-03-14,72,1
+1-731-504-4238,nelsonjonathon@example.com,572,26-35,Single,67733,Professional,Full-time,66,2025-03-14,71,1
+1-990-234-4672x1248,jimenezkrista@example.com,530,18-25,Single,17711,Bachelor's,Full-time,33,2025-06-22,32,0
+1-659-671-5869,thomasandrew@example.org,765,46-55,Married with Kids,58234,High School,Full-time,62,2025-01-29,100,1
001-580-999-3758x8552,krystalcombs@example.net,680,56+,Married with Kids,75821,Bachelor's,Full-time,45,2025-07-07,94,1
4245299037,daltonlewis@example.org,694,56+,Married,37544,High School,Full-time,58,2025-05-29,94,1
001-939-495-5265x2550,vwright@example.net,624,56+,Single,22430,Bachelor's,Full-time,27,2025-03-07,47,0
(987)730-2122x9225,mike21@example.com,763,46-55,Married with Kids,40490,High School,Retired,41,2025-06-22,74,1
